Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:12:40,2021-10-15 17:12:44,"3,710s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuz Raporlari/Rapor.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:12:44,2021-10-15 17:13:12,"27,646s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:13:12,2021-10-15 17:13:13,"0,776s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuz Raporlari/XML,Chrome 94.0.4606.81,,,2021-10-15 17:13:13,2021-10-15 17:13:49,"35,978s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:13:13,2021-10-15 17:13:16,"3,224s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuz Raporlari/XML.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:13:17,2021-10-15 17:13:48,"31,468s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:13:48,2021-10-15 17:13:49,"0,640s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuz Raporlari/Yeniden Olustur,Chrome 94.0.4606.81,,,2021-10-15 17:13:49,2021-10-15 17:14:30,"41,388s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:13:49,2021-10-15 17:13:52,"3,643s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuz Raporlari/Yeniden Olustur.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:13:53,2021-10-15 17:14:29,"36,315s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:14:29,2021-10-15 17:14:30,"0,798s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuzlari/Ekran Kontrolu,Chrome 94.0.4606.81,,,2021-10-15 17:14:30,2021-10-15 17:15:33,"1m - 3,295s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:14:30,2021-10-15 17:14:34,"3,905s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuzlari/Ekran Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:14:35,2021-10-15 17:15:33,"57,989s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:15:33,2021-10-15 17:15:33,"0,730s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuzlari/Goruntule,Chrome 94.0.4606.81,,,2021-10-15 17:15:33,2021-10-15 17:16:06,"32,187s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:15:33,2021-10-15 17:15:40,"6,604s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuzlari/Goruntule.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:15:41,2021-10-15 17:16:05,"24,329s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:16:05,2021-10-15 17:16:06,"0,641s",PASSED
,,,,,,,
